Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,106.66999816894531,107.69499969482422,91.06999969482422,92.91000366210938,92.91000366210938,13215100
2021-02-01,93.4800033569336,106.4800033569336,85.5199966430664,89.66000366210938,89.66000366210938,25702500
2021-03-01,91.75,93.5999984741211,78.19999694824219,84.2699966430664,84.2699966430664,24553300
2021-04-01,86.08000183105469,99.27999877929688,84.05500030517578,94.4800033569336,94.4800033569336,17463000
2021-05-01,95.55000305175781,96.54000091552734,81.0,89.45999908447266,89.45999908447266,19980700
2021-06-01,89.2699966430664,101.0,83.94999694824219,95.91999816894531,95.91999816894531,20385600
2021-07-01,95.5199966430664,100.75,93.52999877929688,98.4000015258789,98.4000015258789,10797100
2021-08-01,98.94000244140625,112.93000030517578,93.31999969482422,112.3499984741211,112.3499984741211,19199800
2021-09-01,112.63999938964844,116.69999694824219,104.88999938964844,112.62000274658203,112.62000274658203,50790900
2021-10-01,112.95999908447266,130.35000610351562,110.19000244140625,125.25,125.25,16737800
2021-11-01,125.05000305175781,130.3699951171875,107.5999984741211,109.4000015258789,109.4000015258789,20636500
2021-12-01,110.41999816894531,110.8550033569336,96.91999816894531,104.45999908447266,104.45999908447266,23499000
