Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,176.0,211.00999450683594,173.41000366210938,195.9499969482422,195.9499969482422,17523200
2021-02-01,195.57000732421875,213.8000030517578,182.41000366210938,189.97999572753906,189.97999572753906,14690800
2021-03-01,193.0399932861328,215.91000366210938,183.00999450683594,208.6199951171875,208.6199951171875,14063600
2021-04-01,210.44000244140625,216.14999389648438,184.0,186.75999450683594,186.75999450683594,15019400
2021-05-01,183.24000549316406,188.35000610351562,174.33999633789062,185.42999267578125,185.42999267578125,10340400
2021-06-01,177.9199981689453,196.8000030517578,176.74000549316406,186.66000366210938,186.66000366210938,10875500
2021-07-01,187.83999633789062,211.9499969482422,181.97999572753906,206.50999450683594,206.50999450683594,10652000
2021-08-01,205.39999389648438,215.55999755859375,195.74000549316406,203.57000732421875,203.57000732421875,8122500
2021-09-01,203.67999267578125,210.47000122070312,197.1199951171875,198.77999877929688,198.77999877929688,8768700
2021-10-01,199.8699951171875,225.07000732421875,193.5,211.14999389648438,211.14999389648438,8459000
2021-11-01,210.55999755859375,239.1199951171875,209.42999267578125,227.5800018310547,227.5800018310547,9524000
2021-12-01,230.9199981689453,249.0,221.50999450683594,244.7100067138672,244.7100067138672,9454700
