Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,37.650001525878906,39.650001525878906,34.400001525878906,35.900001525878906,35.900001525878906,14074700
2018-02-01,35.79999923706055,51.20000076293945,30.799999237060547,50.04999923706055,50.04999923706055,20555400
2018-03-01,49.900001525878906,58.20000076293945,47.20000076293945,52.599998474121094,52.599998474121094,14245800
2018-04-01,52.349998474121094,59.20000076293945,50.900001525878906,52.650001525878906,52.650001525878906,13813900
2018-05-01,52.650001525878906,70.73899841308594,50.590999603271484,55.849998474121094,55.849998474121094,31221400
2018-06-01,56.20000076293945,56.939998626708984,45.849998474121094,47.849998474121094,47.849998474121094,32302100
2018-07-01,47.20000076293945,58.0,46.54999923706055,53.25,53.25,15510700
2018-08-01,53.45000076293945,57.599998474121094,43.599998474121094,47.95000076293945,47.95000076293945,22294700
2018-09-01,47.5,48.189998626708984,36.849998474121094,37.650001525878906,37.650001525878906,18414800
2018-10-01,38.16999816894531,42.72200012207031,35.1150016784668,38.72999954223633,38.72999954223633,21686200
2018-11-01,39.15999984741211,42.900001525878906,34.790000915527344,38.93000030517578,38.93000030517578,21176500
2018-12-01,39.959999084472656,41.64500045776367,32.42499923706055,35.099998474121094,35.099998474121094,11925300
